calories,proteins,fat,carbohydrate,kategori_nutrisi,kategori_nutrisi_encoded
361.0,7.4,0.8,78.4,0,0
361.0,7.4,0.8,78.4,0,0
376.0,7.5,3.8,78.0,0,0
339.0,7.7,4.4,73.0,0,0
362.0,7.7,4.4,73.0,0,0
359.0,7.5,0.9,77.6,0,0
364.0,6.8,0.6,80.1,0,0
353.0,6.8,0.6,80.0,0,0
335.0,7.4,1.9,76.2,0,0
363.0,7.6,1.1,78.3,0,0
344.0,1.1,0.2,28.3,0,0
354.0,7.8,0.4,79.9,0,0
352.0,7.3,0.9,76.2,0,0
145.0,16.3,7.0,4.1,1,1
360.0,4.7,0.1,82.1,0,0
154.0,3.0,4.5,25.5,0,0
381.0,6.1,3.9,80.3,0,0
354.0,0.5,0.3,87.4,0,0
348.0,4.7,0.1,82.1,0,0
562.0,21.2,49.6,23.6,0,0
629.0,21.5,56.6,19.8,0,0
262.0,2.3,5.4,51.1,0,0
199.0,2.1,1.5,44.4,0,0
225.7,3.0,0.3,52.9,0,0
48.0,0.6,0.0,4.4,0,0
458.0,6.9,14.4,75.1,0,0
42.0,1.6,0.1,9.6,0,0
51.0,0.3,0.1,12.1,0,0
43.0,2.6,0.0,11.6,0,0
245.0,3.4,0.0,66.2,0,0
119.0,4.4,3.5,18.3,0,0
23.0,1.0,0.8,7.2,0,0
22.0,1.0,0.3,4.7,0,0
186.0,11.7,9.7,13.0,1,1
249.0,3.4,0.4,58.0,0,0
400.0,4.0,0.7,95.3,0,0
141.0,15.3,3.3,12.6,1,1
23.0,0.8,0.2,5.2,0,0
110.0,1.4,2.1,21.4,0,0
38.0,1.5,0.2,7.5,0,0
264.0,4.0,1.1,59.6,0,0
39.0,0.7,0.2,9.7,0,0
87.0,2.6,2.7,13.1,0,0
71.0,1.7,3.1,9.1,0,0
56.0,0.8,1.0,10.9,0,0
55.0,1.2,0.1,12.2,0,0
101.0,1.7,0.6,25.2,0,0
78.0,0.6,0.3,18.2,0,0
113.0,0.8,0.3,26.8,0,0
29.0,2.1,0.7,3.6,0,0
67.0,0.4,0.2,15.9,0,0
365.0,49.6,4.8,30.8,1,1
60.0,1.0,60.0,13.0,0,0
167.0,0.2,4.0,33.0,0,0
156.0,2.3,0.2,15.6,0,0
72.0,11.4,4.9,1.4,1,1
212.0,16.9,0.2,47.6,1,1
237.0,14.7,0.2,56.0,1,1
35.0,2.4,0.2,7.7,0,0
60.0,5.1,0.5,8.5,0,0
30.0,2.2,0.2,6.4,0,0
45.0,2.6,0.3,8.1,0,0
42.0,2.0,1.1,6.1,0,0
333.0,29.3,3.3,50.0,1,1
336.0,37.4,13.0,30.5,1,1
368.0,23.0,15.0,40.0,1,1
106.0,4.4,6.3,7.9,0,0
141.0,4.4,10.2,8.0,0,0
125.7,3.3,1.9,23.9,0,0
281.0,37.5,0.3,32.1,1,1
38.0,1.6,0.8,6.3,0,0
26.0,0.7,0.3,5.2,0,0
367.0,15.9,6.2,61.8,1,1
36.0,1.0,0.3,7.3,0,0
120.0,4.7,2.4,19.9,0,0
20.0,1.7,0.4,3.4,0,0
155.0,20.1,3.8,10.2,1,1
323.0,4.9,11.5,50.1,0,0
102.0,3.2,6.0,8.7,0,0
366.0,11.0,3.3,73.0,1,1
97.0,5.8,6.3,4.2,0,0
24.0,1.9,0.2,3.7,0,0
460.0,0.8,18.7,17.2,0,0
116.0,3.0,0.4,28.6,0,0
330.0,5.2,8.9,57.4,0,0
332.0,11.0,3.3,73.0,1,1
462.0,1.2,20.7,67.7,0,0
168.0,13.0,9.6,7.5,1,1
143.0,9.8,1.4,22.8,0,0
311.0,8.0,4.0,48.9,0,0
472.0,2.0,29.8,62.7,0,0
504.0,5.5,52.9,29.2,0,0
381.0,9.0,35.0,53.6,0,0
210.0,1.6,6.6,35.8,0,0
241.0,16.0,25.0,0.0,1,1
96.0,6.8,5.9,3.8,0,0
84.0,6.0,6.0,1.4,0,0
145.0,27.0,2.3,0.0,1,1
12.0,0.1,0.1,5.0,0,0
265.0,40.6,10.1,0.0,1,1
75.0,16.1,0.7,0.1,1,1
190.0,19.1,12.0,0.0,1,1
191.0,32.0,6.0,0.0,1,1
457.0,11.6,45.0,0.0,1,1
376.0,14.1,35.0,0.0,1,1
206.0,17.1,14.8,0.0,1,1
154.0,16.6,9.2,0.0,1,1
84.0,18.7,0.5,0.0,1,1
118.0,18.1,4.1,0.9,1,1
207.0,18.8,14.0,0.0,1,1
27.0,1.3,0.6,4.0,0,0
29.0,1.8,0.7,5.2,0,0
41.0,2.0,0.3,7.8,0,0
41.0,2.7,1.0,7.3,0,0
50.0,4.4,1.4,7.8,0,0
42.0,1.8,0.5,9.4,0,0
122.0,6.0,1.0,26.0,0,0
60.0,3.1,0.3,14.0,0,0
58.0,2.9,0.7,10.0,0,0
30.0,1.3,0.7,5.8,0,0
50.0,4.6,0.9,7.0,0,0
62.0,4.2,0.9,9.2,0,0
73.0,4.6,0.5,16.2,0,0
34.0,3.8,0.5,5.3,0,0
93.0,5.0,1.3,15.3,0,0
27.0,2.1,0.7,4.4,0,0
36.0,2.9,0.6,6.8,0,0
34.0,4.1,0.4,5.8,0,0
40.0,3.7,0.3,8.0,0,0
30.0,3.1,0.3,5.8,0,0
92.0,4.0,3.6,10.9,0,0
59.0,4.8,1.0,11.0,0,0
53.0,5.3,0.9,9.1,0,0
59.0,6.4,1.0,9.9,0,0
47.0,5.0,0.5,8.5,0,0
59.0,2.8,0.3,13.4,0,0
82.0,6.7,1.7,14.3,0,0
61.0,6.1,0.9,10.0,0,0
46.0,4.0,0.5,8.9,0,0
45.0,3.7,0.5,6.6,0,0
48.0,4.5,0.8,9.1,0,0
22.0,2.1,0.5,3.6,0,0
23.0,3.0,0.3,3.7,0,0
51.0,2.5,1.1,8.0,0,0
14.0,1.3,0.3,2.3,0,0
60.0,4.0,0.4,4.7,0,0
30.0,3.6,0.6,4.5,0,0
87.0,8.3,1.8,14.4,0,0
76.0,2.8,0.2,15.8,0,0
45.0,4.7,0.5,8.1,0,0
30.0,2.3,0.4,5.8,0,0
40.0,3.0,0.8,7.4,0,0
54.0,3.7,0.3,11.8,0,0
71.0,6.8,1.6,11.5,0,0
99.0,5.0,1.3,21.3,0,0
63.0,3.8,1.5,11.5,0,0
166.0,1.7,0.5,38.8,0,0
22.0,1.0,0.1,5.3,0,0
22.0,1.0,0.1,5.3,0,0
35.0,4.0,0.3,6.4,0,0
54.0,2.2,3.6,3.1,0,0
39.0,4.5,0.4,6.9,0,0
53.0,3.4,1.2,7.2,0,0
29.0,3.4,0.1,6.5,0,0
104.0,3.9,0.6,17.9,0,0
49.0,2.7,1.0,8.4,0,0
87.0,8.0,2.0,11.9,0,0
128.0,12.0,6.5,12.4,1,1
37.0,2.5,0.8,6.9,0,0
301.0,14.2,10.9,49.0,1,1
62.0,4.0,0.5,10.5,0,0
45.0,4.4,8.0,0.5,0,0
45.0,4.4,0.5,8.5,0,0
53.0,3.2,2.5,7.6,0,0
68.0,2.0,1.0,15.2,0,0
73.0,6.8,1.2,13.0,0,0
144.0,12.7,1.2,25.2,1,1
50.0,6.2,1.1,7.1,0,0
74.0,6.3,0.7,10.7,0,0
55.0,4.0,0.5,8.5,0,0
31.0,3.7,0.6,4.8,0,0
50.0,6.2,1.1,7.1,0,0
36.0,2.6,0.9,6.1,0,0
27.0,1.3,0.2,5.9,0,0
59.0,3.0,0.4,13.5,0,0
71.0,4.1,2.1,12.3,0,0
27.0,1.3,0.2,5.9,0,0
70.0,2.9,0.3,13.9,0,0
47.0,2.8,0.4,10.4,0,0
56.0,3.1,0.3,13.0,0,0
62.0,3.7,0.3,11.1,0,0
56.0,3.1,0.3,13.0,0,0
48.0,3.0,0.3,10.8,0,0
46.0,2.8,0.2,8.2,0,0
55.0,1.7,0.1,11.9,0,0
260.0,2.0,15.0,53.0,0,0
382.0,55.7,14.1,8.0,1,1
433.0,55.0,9.0,0.0,1,1
598.0,74.3,26.9,9.2,0,0
77.0,13.8,1.9,0.7,1,1
104.0,21.9,1.1,0.0,1,1
248.0,10.0,2.3,40.9,1,1
395.0,3.0,5.7,81.2,0,0
298.0,3.7,2.1,65.9,0,0
368.0,2.6,8.6,70.0,0,0
348.0,0.4,3.8,76.1,0,0
331.0,1.9,7.6,63.8,0,0
373.0,4.3,16.5,51.9,0,0
17.5,3.3,2.3,39.5,0,0
317.0,15.7,27.7,0.0,1,1
202.0,17.1,14.8,0.0,1,1
100.0,16.6,3.3,1.0,1,1
63.0,1.0,0.2,16.1,0,0
134.0,2.5,3.0,28.0,0,0
80.0,0.5,0.6,18.2,0,0
18.0,1.0,0.2,3.8,0,0
98.0,1.4,0.2,25.4,0,0
248.0,36.2,6.9,10.1,1,1
590.0,18.5,57.0,0.0,0,0
345.0,12.0,1.5,71.5,1,1
403.0,10.6,2.2,85.3,1,1
355.0,17.8,4.6,60.7,1,1
122.0,3.5,4.5,17.5,0,0
538.0,13.6,30.3,52.6,0,0
524.0,13.3,29.2,52.0,0,0
565.0,18.2,38.4,36.8,0,0
70.0,0.6,0.0,18.9,0,0
210.0,4.0,12.5,20.6,0,0
156.7,3.0,1.7,32.7,0,0
152.0,0.0,0.0,37.6,0,0
44.8,0.0,0.0,11.3,0,0
270.0,12.3,15.9,19.3,1,1
322.0,2.4,0.6,76.6,0,0
137.0,6.1,3.2,21.0,0,0
88.0,0.8,0.3,20.9,0,0
101.0,2.1,0.2,23.2,0,0
88.0,0.6,0.3,20.9,0,0
100.0,0.9,0.3,23.5,0,0
18.0,0.8,0.2,4.1,0,0
13.0,0.3,0.6,1.6,0,0
68.0,0.7,0.1,18.0,0,0
100.0,0.8,0.2,23.8,0,0
95.0,1.0,0.1,22.6,0,0
100.0,0.8,0.2,23.8,0,0
77.0,0.6,0.2,18.4,0,0
338.0,1.5,0.7,81.3,0,0
191.0,4.5,1.5,39.7,0,0
347.0,1.3,0.7,83.8,0,0
195.0,0.4,1.7,44.4,0,0
389.0,0.0,0.0,91.0,0,0
95.0,1.5,0.1,22.4,0,0
131.0,1.1,0.2,31.3,0,0
274.0,1.7,5.4,55.5,0,0
407.0,6.4,28.2,32.0,0,0
35.0,1.7,0.2,7.7,0,0
350.0,1.4,14.4,53.6,0,0
462.0,3.1,24.4,57.7,0,0
75.0,8.2,2.0,6.0,0,0
360.0,1.3,6.4,74.3,0,0
171.4,4.0,4.0,32.0,0,0
144.0,1.1,0.4,34.1,0,0
204.0,0.5,1.4,47.4,0,0
114.0,16.3,4.6,0.8,1,1
105.0,16.6,3.3,1.0,1,1
141.0,15.0,8.1,0.9,1,1
53.0,1.6,1.6,8.8,0,0
160.0,3.3,9.2,16.0,0,0
368.0,0.0,0.0,95.0,0,0
386.0,3.0,10.0,76.0,0,0
356.0,0.4,0.5,90.6,0,0
394.0,0.0,0.0,94.0,0,0
52.0,10.0,0.5,1.8,1,1
106.0,16.5,3.3,2.5,1,1
148.0,10.0,9.8,5.0,1,1
126.0,4.2,9.4,6.2,0,0
110.0,5.9,8.2,3.2,0,0
143.0,4.0,11.4,6.0,0,0
176.0,7.3,14.9,3.2,0,0
132.0,9.0,7.2,7.8,0,0
192.0,12.7,10.1,12.7,1,1
218.0,0.5,2.5,48.5,0,0
389.0,16.9,35.0,0.3,1,1
65.0,10.0,1.0,3.5,1,1
134.0,19.7,4.8,1.7,1,1
